SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
86,Ama Kanchana,SRI LANKA,5,70,165,4,17.5,42.4,47,0,0,3,0,66.7,3,16.4,106,1,6.36,106,100,0,12,1,54,6,0
87,Hasini Perera,SRI LANKA,7,124,193,7,17.7,64.2,39,0,0,12,0,65.3,0,0,0,0,0,0,0,0,0,0,0,2,0
88,Udeshika Prabodhani,SRI LANKA,4,27,102,0,0,26.5,13,0,0,1,0,83.3,8,52.5,245,7,4.64,35,45.3,0,24,0,53.3,1,0
89,Hansima Karunaratne,SRI LANKA,5,56,158,5,11.2,35.4,27,0,0,7,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Prasadani Weerakkody,SRI LANKA,4,80,145,4,20,55.2,30,0,0,6,0,66.2,0,0,0,0,0,0,0,0,0,0,0,8,6
91,Nida Dar,PAKISTAN,25,646,965,22,29.4,66.9,87.7,7,0,53,6,56.9,28,218.2,953,27,4.36,35.3,48.5,0,83,7,59,15,0
92,F Sana,PAKISTAN,25,237,367,20,11.8,64.6,28,0,0,19,1,57.5,30,213,1100,45,5.14,24.4,28.5,1,130,1,61.3,5,0
93,Muneeba Ali,PAKISTAN,24,657,1018,23,28.6,64.5,107,2,1,78,3,64.1,0,0,0,0,0,0,0,0,0,0,0,15,3
94,Sadia Iqbal,PAKISTAN,5,6,14,2,3,42.9,2,0,0,0,0,64.3,12,92.3,393,10,4.25,39.3,55.5,0,41,2,62,2,0
95,Omaima Sohail,PAKISTAN,30,654,1048,26,25.2,62.4,65,3,0,66,0,62.2,22,110,494,17,4.49,29.1,38.8,0,36,2,55.1,5,0
96,Nashra Sandhu,PAKISTAN,15,46,116,6,7.7,39.7,11,0,0,2,0,67.2,25,221.4,953,34,4.3,28,39.1,0,83,8,58.3,15,0
97,Ghulam Fatima,PAKISTAN,2,5,8,1,5,62.5,5,0,0,0,0,50,8,71,278,15,3.92,18.5,28.4,1,22,0,58,2,0
98,Diana Baig,PAKISTAN,22,165,212,17,9.7,77.8,35,0,0,14,1,52.4,28,189,866,21,4.58,41.2,54,0,100,4,66.3,13,0
99,Ayesha Naseem,PAKISTAN,4,33,37,4,8.2,89.2,16,0,0,2,2,56.8,0,0,0,0,0,0,0,0,0,0,0,1,0
100,Javeria Khan,PAKISTAN,18,338,625,18,18.7,53.8,48,0,0,38,0,68.5,0,0,0,0,0,0,0,0,0,0,0,6,2
101,Bismah Maroof,PAKISTAN,19,682,981,14,48.7,69.5,78,6,0,58,0,54.7,4,17,98,1,5.76,98,102,0,7,1,50,4,0
102,Sadaf Shamas,PAKISTAN,3,105,136,3,35,77.2,72,1,0,13,0,55.9,0,0,0,0,0,0,0,0,0,0,0,2,0
103,Sidra Nawaz,PAKISTAN,20,183,379,18,10.2,48.3,23,0,0,13,0,67,9,99,100,6,16.5,99,22,0,11,2,48,20,10
104,Aliya Riaz,PAKISTAN,27,693,1043,24,28.9,66.4,81,4,0,55,12,59.6,11,48.5,280,1,5.73,280,293,0,26,1,47.4,6,0
105,Kainat Imtiaz,PAKISTAN,6,83,192,6,13.8,432,24,0,0,5,0,70.8,5,27,155,1,5.74,155,162,0,15,0,52.5,0,0
106,Hayley Mathews,WEST INDIES,34,1008,1415,33,30.5,71.2,119,2,3,110,6,59.9,36,294.4,1132,53,3.84,21.4,33.4,0,92,5,61.7,20,0
107,Stefanie Taylor,WEST INDIES,82,2339,3216,74,31.6,72.7,114,14,3,233,35,60.2,70,389.5,1848,58,4.74,31.9,40.3,0,148,33,58.5,30,0
108,Deandra Dottin,WEST INDIES,24,897,1118,23,39,80.2,150,3,2,113,15,61.4,11,32.3,189,3,5.82,63,65,0,20,1,57.4,13,0
109,Rashada Williams,WEST INDIES,23,386,778,20,19.3,49.6,78,2,0,32,2,69.5,0,0,0,0,0,0,0,0,0,0,0,6,1
110,Shamilila Connell,WEST INDIES,15,50,103,7,7.1,48.5,15,0,0,6,0,70.9,29,189.2,867,28,4.58,31,40.6,0,95,3,67,3,0
111,Shakera Selman,WEST INDIES,12,69,163,7,9.9,42.3,18,0,0,3,0,66.9,24,159.2,665,22,4.17,30.2,43.5,0,43,9,61.8,6,0
112,Chedean Nation,WEST INDIES,23,354,642,20,17.7,55.1,51,1,0,30,3,66.2,0,0,0,0,0,0,0,0,0,0,0,11,0
113,Kyshona Knight,WEST INDIES,18,334,680,17,19.6,49.1,88,1,0,32,2,71.3,0,0,0,0,0,0,0,0,0,0,0,6,0
